key,woeid,yahoo_name
779683,859348,Hammerfest
780687,857138,Berlevaag
780717,857024,Baasfjord
847633,856589,Alta
938694,1588874,White River
944120,1588610,Verulam
946128,1588415,Umkomaas
946877,1588375,Uitenhage
948468,1588171,Tongaat
952869,1587712,Springs
958441,1587102,Sabie
963528,1586727,Queensburgh
964081,1586645,Primrose
964137,1586638,Pretoria
964420,1586614,Port Elizabeth
968296,1586248,Olifantsfontein
971534,1585727,Nelspruit
981158,1584104,Lydenburg
991415,1582707,Kempton Park
991632,1582676,Katlehong
993800,1582504,Johannesburg
994490,1582447,Isipingo Beach
997255,1582149,Hazyview
1002108,55878938,Germiston
1006834,1580969,Edenvale
1007311,1580913,Durban
1016181,55878636,Brakpan
1017780,1579955,Boksburg
1020098,1579744,Benoni
1020590,1579697,Bedfordview
1021086,1579634,Barberton
1023441,55878744,Alberton
1150296,1226191,Thalang
1151933,1226060,Nakhon Si Thammarat
1153269,1225976,Hua Hin
1153669,1225134,Chiang Rai
1153671,1225955,Chiang Mai
1162738,2210201,Wah
1164408,2211490,Sukkur
1164909,2211467,Sialkot
1165221,2211456,Shekhupura
1166000,2211425,Sargodha
1166548,2211404,Montgomery
1166993,2211387,Rawalpindi
1167528,2211369,Quetta
1168718,2211313,Okara
1168864,2211306,Nowshera
1169116,2211296,Nawabshah
1169825,2211269,Multan
1170395,2203528,Mingora
1170880,2211223,Mardan
1171123,2202854,Mandi Bahauddin
1172128,2211189,Larkana
1172451,2211177,Lahore
1174625,2211104,Kasur
1174872,2211096,Karachi
1176615,2211027,Islamabad
1176734,2211024,Hyderabad
1177654,2197074,Gujrat
1177662,2210977,Gujranwala
1179400,2211574,Faisalabad
1180289,2210903,Dera Ghazi Khan
1183880,2210800,Bahawalpur
1214520,1047908,Medan
1215502,1047175,Banda Aceh
1252797,2294974,Yamunanagar
1252948,2295413,Warangal
1253102,2295418,Visakhapatnam
1253286,2295285,Vellore
1253405,2295380,Varanasi
1253468,2295103,Valsad
1253573,2295403,Vadodara
1253747,2294801,Unnao
1253952,2287749,Udupi
1254163,2295426,Thiruvananthapuram
1254187,2295334,Thrissur
1254361,2295370,Tirunelveli
1254388,2295326,Tiruchirappalli
1254649,2295328,Thanjavur
1254661,2295410,Thane
1255634,2295387,Srinagar
1255744,2295010,Sonipat
1256237,2286457,Shimla
1256436,2295415,Solapur
1256515,2295271,Shivamogga
1257022,2294881,Satna
1257055,2295165,Satara
1257402,2294982,Sangrur
1257542,2294869,Sambalpur
1257551,2294826,Samastipur
1257629,2295306,Salem
1257845,2295112,Sagar
1258076,2295053,Rohtak
1258526,2295383,Ranchi
1258847,2295404,Rajkot
1258980,2294871,Raipur
1259005,2294866,Raigarh
1259091,2295368,Kollam
1259166,2294827,Purnia
1259229,2295412,Pune
1259425,2295300,Puducherry
1260086,2295381,Patna
1260107,2294981,Patiala
1260138,2294690,Pathanamthitta
1260476,2295049,Panipat
1260728,2295329,Palakkad
1261258,2295184,Nizamabad
1261481,2295019,Delhi
1261529,2295265,Nellore
1261653,2295099,Navsari
1262039,2294434,Namakkal
1262180,2282863,Nagpur
1262321,2295421,Mysuru
1262801,2295013,Moradabad
1263214,2295393,Meerut
1263364,2295031,Mathura
1264389,2295070,Mahesana
1264521,2295425,Madurai
1264527,2295424,Chennai
1264728,2295390,Ludhiana
1264733,2295377,Lucknow
1265014,2295198,Latur
1265491,2295211,Kurnool
1265873,2295316,Kozhikode
1265911,2295351,Kottayam
1266049,2295062,Kota
1266122,2294862,Korba
1266285,2295170,Kolhapur
1267076,2295229,Khammam
1267648,2295323,Karur
